name,ev_type,battery_capacity,acceleration,top_speed,range,efficiency,fast_charge_speed,drive,number_of_seats,price_in_germany,price_in_uk,price_in_us
Opel Ampera-e,Battery Electric Vehicle ,58,7.3,150,335,173,210,Front Wheel Drive,5,42990,NA,45999.3
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle ,31,22.4,130,160,194,NA,Front Wheel Drive,5,NA,31680,38016
Nissan Leaf,Battery Electric Vehicle ,36,7.9,144,220,164,230,Front Wheel Drive,5,29990,25995,31194
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle ,86.5,5.7,200,375,231,600,All Wheel Drive,5,NA,79900,95880
Porsche Taycan Turbo S,Battery Electric Vehicle ,83.7,2.8,260,390,215,860,All Wheel Drive,4,186336,138830,166596
Nissan e-NV200 Evalia,Battery Electric Vehicle ,36,14,123,165,218,170,Front Wheel Drive,7,43433,30255,36306
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle ,45,8.9,160,275,164,260,Rear Wheel Drive,5,31960,27120,32544
BMW iX3,Battery Electric Vehicle ,74,6.8,180,385,192,520,Rear Wheel Drive,5,66300,58850,70620
Nissan Leaf e+,Battery Electric Vehicle ,56,7.3,157,325,172,390,Front Wheel Drive,5,38350,30445,36534
BMW i3 120 Ah,Battery Electric Vehicle ,37.9,7.3,150,235,161,270,Rear Wheel Drive,4,39000,31305,37566
Mercedes EQA 250,Battery Electric Vehicle ,66.5,8.9,160,355,187,420,Front Wheel Drive,5,47541,43495,52194
DS 3 Crossback E-Tense,Battery Electric Vehicle ,45,8.7,150,250,180,330,Front Wheel Drive,5,30040,31500,37800
BMW i3s 120 Ah,Battery Electric Vehicle ,37.9,6.9,160,230,165,260,Rear Wheel Drive,4,42600,32305,38766
Sono Sion,Battery Electric Vehicle ,47,9,140,260,181,310,Front Wheel Drive,5,25500,NA,27285
Audi e-tron GT RS,Battery Electric Vehicle ,85,3.3,250,405,210,810,All Wheel Drive,4,138200,110950,133140
Kia e-Soul 64 kWh,Battery Electric Vehicle ,64,7.9,167,370,173,350,Front Wheel Drive,5,NA,37545,45054
Renault Zoe ZE50 R110,Battery Electric Vehicle ,52,11.4,135,315,165,230,Front Wheel Drive,5,31990,26795,32154
Hyundai IONIQ Electric,Battery Electric Vehicle ,38.3,9.7,165,250,153,220,Front Wheel Drive,5,35350,30550,36660
Lightyear One,Battery Electric Vehicle ,60,10,150,575,104,540,All Wheel Drive,5,149000,NA,159430
Tesla Roadster,Battery Electric Vehicle ,200,2.1,410,970,206,920,All Wheel Drive,4,215000,189000,226800
Peugeot e-208,Battery Electric Vehicle ,45,8.1,150,275,164,370,Front Wheel Drive,5,30450,27225,32670
Honda e,Battery Electric Vehicle ,28.5,9,145,170,168,190,Rear Wheel Drive,4,33850,27660,33192
CUPRA Born 110 kW - 55 kWh,Battery Electric Vehicle ,45,8.9,160,275,164,440,Rear Wheel Drive,5,32700,28500,34200
Audi Q4 e-tron 35,Battery Electric Vehicle ,51.5,9,160,280,184,390,Rear Wheel Drive,5,41900,40750,48900
Tesla Model Y Long Range Dual Motor,Battery Electric Vehicle ,76,5.1,217,450,169,750,All Wheel Drive,7,59965,54000,64800
Tesla Model Y Performance,Battery Electric Vehicle ,76,3.7,241,430,177,720,All Wheel Drive,7,66965,60000,72000
Porsche Taycan 4 Cross Turismo,Battery Electric Vehicle ,83.7,5.1,220,405,207,850,All Wheel Drive,4,93635,79340,95208
Skoda Enyaq iV 50,Battery Electric Vehicle ,52,11.3,160,295,176,240,Rear Wheel Drive,5,33800,NA,36166
SEAT Mii Electric,Battery Electric Vehicle ,32.3,12.3,130,205,158,170,Front Wheel Drive,4,24650,NA,26375.5
Opel Corsa-e,Battery Electric Vehicle ,45,8.1,150,275,164,370,Front Wheel Drive,5,29000,27140,32568
MG ZS EV,Battery Electric Vehicle ,42.5,8.2,140,220,193,260,Front Wheel Drive,5,31990,25995,31194
Volkswagen ID.3 Pro,Battery Electric Vehicle ,58,9.6,160,350,166,440,Rear Wheel Drive,5,34995,28420,34104
Volkswagen ID.3 Pro S,Battery Electric Vehicle ,77,7.9,160,450,171,550,Rear Wheel Drive,4,41995,38800,46560
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle ,64,7.9,167,395,162,370,Front Wheel Drive,5,41850,NA,44779.5
Renault Zoe ZE50 R135,Battery Electric Vehicle ,52,9.5,140,310,168,230,Front Wheel Drive,5,33990,28795,34554
Peugeot e-2008 SUV,Battery Electric Vehicle ,45,8.5,150,250,180,330,Front Wheel Drive,5,35450,30730,36876
Audi e-tron 50 quattro,Battery Electric Vehicle ,64.7,6.8,190,280,231,470,All Wheel Drive,5,69100,60600,72720
